epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4115,1.75907,4.54144,1.99569,0,0,0,0,0,0,0,0.000105902,0.000105902,0.000105902
2,72.4471,1.46051,3.13186,1.61924,0,0,0,0,0,0,0,0.000202997,0.000202997,0.000202997
3,110.145,1.43039,2.5987,1.59124,0,0,0,0,0,0,0,0.000289433,0.000289433,0.000289433
4,143.395,1.43383,2.37971,1.60951,0,0,0,0,0,0,0,0.000275035,0.000275035,0.000275035
5,176.491,1.42322,2.16535,1.59676,0,0,0,0,0,0,0,0.000259046,0.000259046,0.000259046
6,209.385,1.38607,1.96246,1.5546,0,0,0,0,0,0,0,0.000243057,0.000243057,0.000243057
1,34.9882,1.30709,1.66257,1.49495,0.6446,0.8869,0.88117,0.5388,1.44128,1.10329,1.76445,0.000105902,0.000105902,0.000105902
2,70.4977,1.32817,1.6427,1.49679,0.89906,0.77704,0.8704,0.5063,1.5187,0.95816,1.78889,0.000202997,0.000202997,0.000202997
3,104.991,1.27438,1.60553,1.46828,0.72008,0.85963,0.88881,0.54699,1.45478,1.07211,1.88781,0.000289433,0.000289433,0.000289433
4,139.971,1.28313,1.55771,1.47152,0.68376,0.7705,0.85636,0.50072,1.45243,1.25831,1.79114,0.000275035,0.000275035,0.000275035
5,174.294,1.28383,1.46496,1.48033,0.78855,0.91431,0.89998,0.54794,1.38779,0.92114,1.74486,0.000259046,0.000259046,0.000259046
6,214.878,1.27348,1.42731,1.47194,0.83442,0.87022,0.91936,0.58321,1.36414,0.82108,1.71886,0.000243057,0.000243057,0.000243057
7,250.58,1.28773,1.4297,1.49175,0.73057,0.96127,0.95355,0.59178,1.36967,0.85326,1.6931,0.000227069,0.000227069,0.000227069
8,289.624,1.28358,1.36489,1.46532,0.75126,0.86514,0.87218,0.5357,1.41518,0.9591,1.7111,0.00021108,0.00021108,0.00021108
9,323.92,1.23226,1.25786,1.45684,0.90372,0.83155,0.92095,0.54959,1.49369,0.84238,1.77599,0.000195092,0.000195092,0.000195092
10,358.398,1.23119,1.20312,1.43709,0.76732,0.96475,0.93534,0.52822,1.62627,0.84521,1.89704,0.000179103,0.000179103,0.000179103
11,393.597,1.21566,0.82882,1.60774,0.87669,0.9003,0.9266,0.55924,1.40973,0.78442,1.6856,0.000163115,0.000163115,0.000163115
12,429.115,1.1914,0.72163,1.60883,0.83401,0.93163,0.94341,0.59365,1.38197,0.74304,1.72062,0.000147126,0.000147126,0.000147126
13,466.606,1.16361,0.68191,1.57579,0.81951,0.94779,0.92477,0.57859,1.3892,0.75674,1.73118,0.000131138,0.000131138,0.000131138
14,507.368,1.16055,0.61921,1.55359,0.83814,0.92422,0.91614,0.5654,1.41916,0.77092,1.72885,0.000115149,0.000115149,0.000115149
15,546.767,1.09551,0.58246,1.5098,0.86209,0.90901,0.92845,0.57058,1.39335,0.71,1.71199,9.9161e-05,9.9161e-05,9.9161e-05
16,582.63,1.07742,0.55833,1.48435,0.871,0.93507,0.94606,0.58395,1.40454,0.70429,1.71741,8.31725e-05,8.31725e-05,8.31725e-05
17,617.968,1.02765,0.50735,1.45611,0.87164,0.92743,0.91766,0.58227,1.36596,0.68969,1.68699,6.7184e-05,6.7184e-05,6.7184e-05
